SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Plads navn,Adresse,post nr,By,Niveau,KodeNøgle,Strømiddel,App,Storkunde,Ejendomskontakt,Område,Dage,Status,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
Marker,Høj,Ø22,,56.5544521,9.0865199,"56.5544521,9.0865199","sm1332016b",Østergårdsvej 6 OK Tank Højslev,Østergårdsvej 6,7840,Højslev,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø22,,List 3/10-2025,Høj
Marker,Høj,Ø23,,56.5486705,9.1147365,"56.5486705,9.1147365","sm3d7a6633",Viborgvej 246 Lægehus Højslev,Viborgvej 246,7840,Højslev,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,KunHverdage,Aktiv,Ø23,,List 3/10-2025,Høj
Marker,Høj,Ø24,,56.5484542,9.1137916,"56.5484542,9.1137916","sm506096cd",Højslevgårdsvej 8A Knudsgaard Højslev,Højslevgårdsvej 8A,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø24,,List 3/10-2025,Høj
Marker,Høj,Ø25,,56.5554116,9.1103477,"56.5554116,9.1103477","sme4dd026d",Toftevej 1n Knudsgaard Højslev,Toftevej 1N,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø25,,List 3/10-2025,Høj
Marker,Høj,Ø26,,56.552589,9.10922,"56.552589,9.10922","smc882840e",Østerisvej 15a Knudsgaard Højslev,Østerrisvej 15A,7840,Højslev,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø26,,List 3/10-2025,Høj
Marker,Høj,Ø27,,56.5515928,9.1101995,"56.5515928,9.1101995","sm4e65cedd",Østerisvej 16e Knudsgaard Højslev,Østerrisvej 16E,7840,Højslev,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø27,,List 3/10-2025,Høj
Marker,Høj,Ø28,,56.5503542,9.1105478,"56.5503542,9.1105478","sm62c0b5b5",Langmosevej mf Knudsgaard Højslev,Viborgvej 227,7840,Højslev,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø28,,List 3/10-2025,Høj
Marker,Høj,Ø29,,56.5408364,9.0496481,"56.5408364,9.0496481","sm0efb6724",Jegstrupvej 6d Knudsgaard Skive,Jegstrupvej 6D,7800,Skive,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø29,,List 3/10-2025,Høj
Marker,Høj,Ø30,,56.5677795,9.0301037,"56.5677795,9.0301037","smcef9a548",Karolinegade 6 Knudsgaard Skive,Karolinegade 6,7800,Skive,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø30,,List 3/10-2025,Høj
Marker,Høj,Ø31,,56.5563723,9.0321259,"56.5563723,9.0321259","smaa5035e9",Brårupvej 50 Energibyen skive,Brårupvej 50,7800,Skive,Høj,0,Vejsalt,0,Knudsgaard,0,ViborgSkive,AlleDage,Aktiv,Ø31,,List 3/10-2025,Høj
Marker,Høj,Ø32,,56.5535517,9.110542,"56.5535517,9.110542","sm612ae18c",Østerrisvej 36B Børnehave Højslev,Østerrisvej 36B,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,KunHverdage,Aktiv,Ø32,,List 3/10-2025,Høj
Marker,Høj,Ø33,,56.5417312,9.1249869,"56.5417312,9.1249869","sm6fdbff4c",Stoholmvej 26 Børnehave Nr.Søby,Stoholmvej 26,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,KunHverdage,Aktiv,Ø33,,List 3/10-2025,Høj
Marker,Høj,Ø36,,56.5500945,9.1101403,"56.5500945,9.1101403","sm8c48afe8",Viborgvej 220 Højslev Kro Højslev,Viborgvej 220,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø36,,List 3/10-2025,Høj
Marker,Høj,Ø37,,56.5533123,9.086548,"56.5533123,9.086548","sm01cf11a7",Østergårdsvej 15 Højmose Erhverv Højslev,Østergårdsvej 15,7840,Højslev,Høj,Nøgle,Vejsalt,0,Ingen,0,ViborgSkive,KunHverdage,Aktiv,Ø37,Køres ikke i weekend og helligdage,List 3/10-2025,Høj
Marker,Høj,Ø38,,56.5525066,9.0715512,"56.5525066,9.0715512","sm8036ca0f",Markvænget 4 Skive,Markvænget 4,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø38,,List 3/10-2025,Høj
